name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550.166159,1423.336003,1034.344152,895.0281406,359.4614173,385.1716737,457.9881275,712.9252777,886.8859805,875.6644732,1145.89238,1105.36991,1156.996723,1152.383627,1257.009644,1314.761632,1380.757972,1381.122055,1549.660407,1603.124971,1680.173537,1848.889051,1742.103986,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,730.5834147,739.2991527,722.1848374,711.8735127,727.6519052,771.7350377,743.6853544,848.6582155,880.0496786,882.9400195,873.7551915,979.0873106,956.5736399,918.193011,918.1851574,875.4134284,900.1735278,996.6063032,1010.941437,1025.951022,1031.109807,1043.797071,1028.566016,984.9620046,1006.592264,1012.654622,1029.29035,1066.243332,970.0096452,1065.894598,1026.36926,1014.516917,,,
Brazil,,,,,,,,,,,,708.9910388,741.8692429,793.3632464,824.3018172,840.4089543,860.471306,868.8153412,902.2672309,936.7599993,931.7000896,873.040841,867.193938,868.6995989,904.3350856,945.3300696,969.50034,987.5337375,982.1951452,983.9962656,932.2647908,934.2179566,929.0054553,937.5711653,971.918272,989.7989527,1026.37404,1061.837434,1070.588291,1078.182918,1066.302918,1068.89589,1081.267182,1083.587967,1128.552711,1142.471441,1168.430285,1221.362129,1276.270293,1222.429112,1338.589589,1346.652496,1391.901968,,,
Brunei Darussalam,,,,,,,,,,,,1306.102449,1236.999069,2326.304984,3846.212636,4604.263708,5835.554121,6071.485278,5469.064134,5493.714732,6991.126973,6525.816527,6813.231185,6995.903913,7839.653654,7990.356379,6822.686101,6804.97076,5499.114315,6206.668589,6721.003818,7386.458117,7719.687193,7225.99985,6524.86753,7616.707908,7478.761709,7541.998928,7341.275527,7324.879869,7213.665543,6549.73982,6282.739681,7166.027286,6454.003374,6125.88114,8560.426457,8618.396139,9300.890789,7860.922807,8238.793599,9695.713781,9525.673716,,,
Bulgaria,,,,,,,,,,,,2228.687051,2262.786549,2378.253739,2463.244052,2665.45943,2780.331763,2954.266739,3084.452042,3200.498984,3203.610097,3185.509537,3309.206425,3370.132324,3387.274223,3419.767677,3450.941716,3411.073395,3488.292754,3426.942205,3237.35265,2538.072814,2398.682274,2602.24215,2518.460333,2739.842069,2746.960059,2503.526078,2425.946246,2225.872479,2287.384892,2420.852658,2397.053785,2479.544407,2420.353595,2570.859313,2657.325088,2666.117277,2644.010239,2351.934859,2420.088758,2614.716164,2511.004822,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.11534449,,,,,,,,,,,,,,189.7715279,208.762104,213.2708854,214.0135223,,,,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.2457689,269.1743235,265.8966394,294.8230337,288.0927099,279.7503342,275.5391428,314.9702759,318.9477396,258.4790015,257.9500029,253.5497022,253.5940038,252.1610259,346.9249213,349.7694796,365.4617158,369.5839237,,,
Cameroon,,,,,,,,,,,,387.8607487,386.1464229,384.2452804,384.2059396,392.1889058,387.0313462,402.6246238,404.1606241,407.3932522,409.2490462,417.0527236,423.3609595,425.3724584,426.1117238,429.4071783,422.7263238,417.7329224,418.1614111,420.7605632,412.6513553,404.5893944,397.2775408,399.4130199,401.7488086,397.535675,396.3266258,396.7271565,397.3938074,390.0057296,396.143376,390.4827735,389.5226144,395.0308129,397.0369223,389.3432112,361.509469,332.3033216,326.7787126,344.4175657,338.3474823,321.6158954,322.5260449,,,
Canada,4251.435911,4307.820754,4451.560116,4694.12007,4903.607607,5153.932412,5272.664705,5557.29174,5871.520391,6091.10001,6476.388529,6530.335563,6933.606552,7123.379215,7100.548092,7150.106812,7272.550047,7409.530005,7538.842944,7837.769659,7804.220103,7530.945261,7149.34406,7051.629557,7341.51922,7439.342071,7492.11338,7641.324105,7854.972039,7933.567077,7504.793638,7388.38249,7479.477427,7641.514791,7834.893085,7861.630272,7956.69856,7965.519322,7837.520522,8011.634174,8173.666562,7974.16268,7920.110229,8272.181052,8364.817409,8378.82867,8355.173492,8076.397516,7952.214015,7411.421169,7390.372976,7366.640208,7225.681895,7149.306121,,
