name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8017.4,,,,,,,,,,7054.9,,,,,5813.9,,,5688.2,,5410,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2129.2,,,,,,,,,,2221,,,,,2331.2,,,2419.2,,2147.5,,,,,
East Asia & Pacific (all income levels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648564.2,,,,,,,,,,739489.5,,,,,864864.1,,,841871.9,,893404.7,,,,,
East Asia & Pacific (developing only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523656.2,,,,,,,,,,590804.8,,,,,737540.2,,,721888.8,,782537.7,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3194,,,,,,,,,,4067.7,,,,,4558.5,,,4488.1,,5328.1,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11936.9,,,,,,,,,,18209.1,,,,,21993,,,25016,,24617.7,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1319.4,,,,,,,,,,1359.1,,,,,1398.9,,,1504.6,,1387.1,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030.6,,,,,,,,,,1360.3,,,,,1191.7,,,1212.8,,1234,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872.9,,,,,,,,,,837,,,,,951.7,,,1005.9,,911.7,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25278.6,,,,,,,,,,26660.5,,,,,30267.2,,,36844.3,,39072.1,,,,,
Euro area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273790.6,,,,,,,,,,229517.1,,,,,219758.5,,,201622.6,,181608.5,,,,,
Europe & Central Asia (all income levels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749143.4,,,,,,,,,,553790.9,,,,,527956.8,,,491148.5,,466769.4,,,,,
Europe & Central Asia (developing only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195469.7,,,,,,,,,,128109.1,,,,,134101.4,,,136727.8,,136604.8,,,,,
European Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423832.3,,,,,,,,,,340576.5,,,,,323331.3,,,298657.3,,273678.2,,,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7423,,,,,,,,,,6688.1,,,,,7068,,,7081.9,,5818.4,,,,,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199439.6,,,,,,,,,,167638.2,,,,,167876.3,,,212481.5,,213288.5,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70691.3,,,,,,,,,,52074.4,,,,,48199.1,,,45695.7,,38667.9,,,,,
Franch Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.1,,,,,,,,,,254.9,,,,,477.1,,,1370,,821.3,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2780.8,,,,,,,,,,1994.5,,,,,2022,,,2156.6,,2267.3,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73188,,,,,,,,,,52458.7,,,,,51513.5,,,49965.5,,42431.6,,,,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5101.4,,,,,,,,,,5271.4,,,,,4812,,,19722.5,,17248.5,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7482.2,,,,,,,,,,6594,,,,,6025,,,5657.7,,5117.8,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2483.4,,,,,,,,,,14385.7,,,,,5413.1,,,3950.2,,4515.5,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910.3,,,,,,,,,,1402.2,,,,,1455.6,,,1470.9,,1466,,,,,
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273695.3,,,,,,,,,,236256,,,,,247235.8,,,290985.9,,289007.9,,,,,
High income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103516,,,,,,,,,,1021804,,,,,974444.7,,,914283.2,,875685.6,,,,,
High income: nonOECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232511.8,,,,,,,,,,183158.1,,,,,176048.7,,,168608.7,,167683.8,,,,,
High income: OECD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,871004.2,,,,,,,,,,838645.9,,,,,798396,,,745674.5,,708001.8,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2427.6,,,,,,,,,,3142.2,,,,,3064.9,,,3139.2,,3143.4,,,,,
Hong Kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.9,,,,,,,,,,513.2,,,,,428.2,,,462.8,,467.1,,,,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10114.2,,,,,,,,,,6855.8,,,,,6974.6,,,4840.8,,4215.1,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404,,,,,,,,,,395,,,,,410.9,,,414.1,,365.5,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159463.2,,,,,,,,,,199495.9,,,,,211193.4,,,221515.8,,234135.8,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88949.5,,,,,,,,,,90676.6,,,,,156645.3,,,97286.9,,91312.6,,,,,
"Iran, Islamic Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18824.7,,,,,,,,,,24127.7,,,,,27180.3,,,25763.2,,23927.1,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3808.9,,,,,,,,,,4462.3,,,,,3478.3,,,3553.4,,4908.9,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8172.1,,,,,,,,,,8415.7,,,,,7501.6,,,7233.7,,7716.3,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495.8,,,,,,,,,,1913.7,,,,,2029,,,1784.8,,1717.7,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30282.4,,,,,,,,,,30583.6,,,,,28697.5,,,21565.4,,19631.6,,,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.2,,,,,,,,,,626.2,,,,,650.5,,,666.6,,643.3,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36174.8,,,,,,,,,,31995.7,,,,,29968.2,,,28242.6,,25739.5,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463.8,,,,,,,,,,606.8,,,,,651,,,694.9,,592.7,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33505.2,,,,,,,,,,15964.5,,,,,18097.8,,,18418.5,,17454.1,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9285.7,,,,,,,,,,9247.6,,,,,10596.4,,,11556.3,,11364.2,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Democratic People's Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8714.8,,,,,,,,,,3310.1,,,,,3365.7,,,3276.9,,3241.2,,,,,
"Korea, Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9823.4,,,,,,,,,,17958.1,,,,,14016.4,,,13580.2,,14685.6,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.1,,,,,,,,,,507.6,,,,,679.5,,,638.4,,690.5,,,,,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3586.5,,,,,,,,,,1559.1,,,,,1504.3,,,1519.3,,1465,,,,,
Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (all income levels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335558.4,,,,,,,,,,368462.2,,,,,447269.3,,,401526.1,,418555.6,,,,,
Latin America & Caribbean (developing only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273711.7,,,,,,,,,,299093.3,,,,,366450.2,,,312566.3,,333662,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3031.8,,,,,,,,,,1159.4,,,,,1311.8,,,1391.9,,1383,,,,,
Least developed countries: UN classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312674.5,,,,,,,,,,254656.7,,,,,270567,,,301507.7,,309746.8,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.6,,,,,,,,,,597.8,,,,,648,,,641.6,,453.5,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210.8,,,,,,,,,,1276.1,,,,,1275.5,,,1355,,1436.9,,,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5312.1,,,,,,,,,,3657,,,,,4459.4,,,4939.2,,4596.8,,,,,
Low & middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1580305.6,,,,,,,,,,1622797.5,,,,,1879477.3,,,1893054.1,,1984147.9,,,,,
Low income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175012.9,,,,,,,,,,137728.1,,,,,142735.4,,,153787,,159623.5,,,,,
Lower middle income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599637.2,,,,,,,,,,631516.1,,,,,727953.1,,,735638.2,,746513.4,,,,,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,,,,,,,,,,425.6,,,,,467.2,,,482.9,,475.9,,,,,
Macao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Macedonia, the former Yugoslav Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.9,,,,,,,,,,652.8,,,,,616.1,,,555.1,,515.6,,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
